,vmcreated,vmdeleted,lifetime,profile,node,core
0,2291400,2294100,0.75,8,2,1
1,2293800,2294400,0.16666666666666666,1,1,2
2,2293200,2295000,0.5,5,2,5
3,2293500,2295900,0.6666666666666666,6,1,2
4,2290800,2295300,1.25,2,1,3
5,2289600,2291400,0.5,3,1,4
6,2180700,2291400,30.75,2,3,1
7,2293500,2294400,0.25,7,3,5
8,2291700,2318400,7.416666666666667,2,2,3
9,1883100,2293500,114.0,2,3,2
10,2270700,2290800,5.583333333333333,1,3,2
11,2294100,2294400,0.08333333333333333,6,2,4
12,2270700,2293200,6.25,4,3,1
13,2293500,2437800,40.083333333333336,8,2,4
14,2291400,2320200,8.0,4,1,1
15,2293800,2295300,0.4166666666666667,8,3,5
16,2288100,2292000,1.0833333333333333,3,3,3
17,2291400,2342400,14.166666666666666,6,1,5
18,2293800,2296200,0.6666666666666666,7,2,4
19,2290500,2291700,0.3333333333333333,3,1,5
20,2289300,2291100,0.5,7,1,1
21,2292000,2351100,16.416666666666668,8,2,5
22,2291400,2293500,0.5833333333333334,5,2,2
23,2291100,2292900,0.5,4,3,2
24,2293800,2295600,0.5,6,3,3
25,2290800,2291400,0.16666666666666666,8,1,5
26,2290800,2291700,0.25,5,3,2
27,2292600,2294100,0.4166666666666667,1,2,4
28,2289300,2291400,0.5833333333333334,2,1,2
29,2290800,2305200,4.0,8,3,2
30,2289600,2290800,0.3333333333333333,4,3,4
31,2287200,2291100,1.0833333333333333,7,2,4
32,2292900,2293200,0.08333333333333333,5,1,1
33,2289600,2291700,0.5833333333333334,6,3,4
34,2290500,2291400,0.25,8,3,3
35,2293200,2295000,0.5,6,2,5
36,2288400,2290800,0.6666666666666666,5,1,2
37,2289300,2291100,0.5,2,2,5
38,2291400,2293200,0.5,8,3,3
39,2290500,2291100,0.16666666666666666,5,3,4
40,2293800,2346600,14.666666666666666,1,2,5
41,2293500,2295300,0.5,5,2,3
42,2294100,2295300,0.3333333333333333,4,2,3
43,2293200,2295000,0.5,2,1,1
44,2290500,2290800,0.08333333333333333,8,2,2
45,2288100,2290800,0.75,5,3,4
46,2294100,2324100,8.333333333333334,2,1,5
47,2290500,2292300,0.5,2,2,5
48,2293500,2295000,0.4166666666666667,2,2,2
49,2293200,2293800,0.16666666666666666,2,3,1
50,2292900,2304600,3.25,1,2,2
51,2290200,2292300,0.5833333333333334,6,2,1
52,2293800,2294700,0.25,3,1,5
53,2290800,2295300,1.25,5,1,5
54,2291400,2291700,0.08333333333333333,4,1,1
55,2286900,2291100,1.1666666666666667,7,3,5
56,2291100,2291700,0.16666666666666666,4,2,2
57,2293500,2293800,0.08333333333333333,3,1,2
58,2291700,2294100,0.6666666666666666,6,2,2
59,2292300,2293800,0.4166666666666667,4,2,2
60,2292000,2294100,0.5833333333333334,5,3,2
61,2291400,2293800,0.6666666666666666,6,1,1
62,2293800,2293800,0.08333333333333333,2,3,1
63,2292000,2293800,0.5,4,1,1
64,2294100,2295000,0.25,5,2,3
65,2291400,2292000,0.16666666666666666,5,1,5
66,2290800,2291700,0.25,1,3,5
67,2293800,2295000,0.3333333333333333,3,2,2
68,2291700,2293500,0.5,8,1,2
69,2289000,2292000,0.8333333333333334,5,1,4
70,2290500,2292300,0.5,4,2,5
71,2292900,2296500,1.0,5,1,2
